,SALE TYPE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE PER SQFT,HOA PER MONTH,STATUS,SOURCE,MLS,LATITUDE,LONGITUDE,SHAPE
2471,MLS Listing,Single Family Residential,Portland,OR,97219.0,699000.0,4.0,2.5,"Portland West, Raleigh Hills",3817.0,12196.0,2008.0,76.0,183.0,0.0,Active,RMLS,18504270,45.44680039828939,-122.6871631017106,"{'spatialReference': {'wkid': 4326}, 'x': -122.6871631017106, 'y': 45.44680039828939}"
2472,MLS Listing,Townhouse,Portland,OR,97211.0,699000.0,5.0,3.5,ALBERTA ARTS,2630.0,6969.0,2018.0,70.0,266.0,0.0,Active,RMLS,18662489,45.56957508003365,-122.62929381996636,"{'spatialReference': {'wkid': 4326}, 'x': -122.62929381996636, 'y': 45.56957508003365}"
2474,MLS Listing,Single Family Residential,Portland,OR,97203.0,699000.0,4.0,2.5,ST JOHNS,2600.0,4791.0,2018.0,140.0,269.0,0.0,Active,RMLS,18522209,45.58281042625917,-122.74497507374085,"{'spatialReference': {'wkid': 4326}, 'x': -122.74497507374085, 'y': 45.58281042625917}"
2476,MLS Listing,Single Family Residential,Tigard,OR,97223.0,699500.0,5.0,4.0,Oak Woods,3259.0,10890.0,2018.0,136.0,215.0,42.0,Active,RMLS,18189976,45.43518342559829,-122.75867657440172,"{'spatialReference': {'wkid': 4326}, 'x': -122.75867657440172, 'y': 45.43518342559829}"
2479,MLS Listing,Townhouse,Portland,OR,97202.0,699900.0,5.0,4.0,SELLWOOD - WEST MORELAND,2582.0,2613.0,2016.0,134.0,271.0,0.0,Active,RMLS,18120748,45.513880320233646,-122.61393667976635,"{'spatialReference': {'wkid': 4326}, 'x': -122.61393667976635, 'y': 45.513880320233646}"
2481,MLS Listing,Multi-Family (2-4 Unit),Portland,OR,97202.0,699900.0,5.0,4.0,SELLWOOD - WEST MORELAND,2582.0,6969.0,2016.0,113.0,271.0,0.0,Active,RMLS,18571434,45.481840900595145,-122.64586369940486,"{'spatialReference': {'wkid': 4326}, 'x': -122.64586369940486, 'y': 45.481840900595145}"
2483,MLS Listing,Single Family Residential,Portland,OR,97229.0,699900.0,5.0,3.5,Forest Heights,3548.0,7840.0,2001.0,90.0,197.0,66.0,Active,RMLS,18360370,45.5470572054061,-122.7600331945939,"{'spatialReference': {'wkid': 4326}, 'x': -122.7600331945939, 'y': 45.5470572054061}"
2488,MLS Listing,Single Family Residential,Portland,OR,97229.0,699900.0,4.0,3.0,THOMPSON WOODS - ARBOR,2637.0,6969.0,2018.0,45.0,265.0,83.0,Active,RMLS,18535877,45.57751276512293,-122.77479033487704,"{'spatialReference': {'wkid': 4326}, 'x': -122.77479033487704, 'y': 45.57751276512293}"
2490,MLS Listing,Single Family Residential,Portland,OR,97219.0,699900.0,4.0,3.0,"Portland West, Raleigh Hills",2794.0,4791.0,2018.0,42.0,251.0,0.0,Active,RMLS,18614773,45.48359090980097,-122.70441579019902,"{'spatialReference': {'wkid': 4326}, 'x': -122.70441579019902, 'y': 45.48359090980097}"
2492,MLS Listing,Single Family Residential,Portland,OR,97229.0,699900.0,4.0,3.0,THOMPSON WOODS - ARBOR,2637.0,6969.0,2018.0,69.0,265.0,83.0,Active,RMLS,18213231,45.56776136694496,-122.78444763305504,"{'spatialReference': {'wkid': 4326}, 'x': -122.78444763305504, 'y': 45.56776136694496}"
