,SALE TYPE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE PER SQFT,HOA PER MONTH,STATUS,SOURCE,MLS,LATITUDE,LONGITUDE
963,MLS Listing,Condo/Co-op,Portland,OR,97201.0,355000.0,1.0,1.0,"RIVERPLACE, DOWNTOWN PDX",834.0,6969.0,1986.0,102.0,426.0,516.0,Active,RMLS,18503166,45.53841207685175,-122.64694082314824
964,MLS Listing,Single Family Residential,Portland,OR,97266.0,355000.0,3.0,2.0,Portland Southeast,1320.0,6534.0,1999.0,83.0,269.0,0.0,Active,RMLS,18406735,45.51277960338217,-122.51360169661784
965,MLS Listing,Condo/Co-op,Portland,OR,97214.0,355000.0,1.0,1.0,SUNNYSIDE / BELMONT,990.0,6969.0,2005.0,48.0,359.0,586.0,Active,RMLS,18472624,45.5207651835192,-122.6237914164808
966,MLS Listing,Single Family Residential,Portland,OR,97266.0,355000.0,2.0,1.0,Portland Southeast,856.0,6098.0,1928.0,28.0,415.0,0.0,Active,RMLS,18411766,45.476363146864,-122.571225353136
968,MLS Listing,Single Family Residential,Portland,OR,97230.0,355000.0,4.0,3.5,Portland Northeast,1864.0,6969.0,2002.0,279.0,190.0,0.0,Active,RMLS,17276089,45.51863038071494,-122.50658951928506
969,MLS Listing,Condo/Co-op,Portland,OR,97201.0,355750.0,2.0,2.0,Goose Hollow,830.0,6969.0,1982.0,50.0,429.0,295.0,Active,RMLS,18696793,45.52075873794471,-122.68618176205528
970,MLS Listing,Single Family Residential,Portland,OR,97266.0,357500.0,4.0,2.0,SUN PLACE,1574.0,4791.0,2000.0,45.0,227.0,0.0,Active,RMLS,18077005,45.491062275952736,-122.53564922404728
971,MLS Listing,Single Family Residential,Portland,OR,97220.0,358899.0,4.0,1.5,Portland Northeast,1984.0,5662.0,1951.0,28.0,181.0,0.0,Active,RMLS,18063062,45.538157059878415,-122.54698694012158
972,MLS Listing,Single Family Residential,Portland,OR,97233.0,358999.0,4.0,2.5,Portland Southeast,2076.0,5227.0,2003.0,35.0,173.0,0.0,Active,RMLS,18005102,45.5174941277176,-122.4986661722824
973,MLS Listing,Single Family Residential,Portland,OR,97206.0,359000.0,3.0,1.0,Portland Southeast,960.0,6969.0,1975.0,91.0,374.0,0.0,Active,RMLS,18001977,45.47987946091645,-122.57047793908356
974,MLS Listing,Single Family Residential,Portland,OR,97266.0,359000.0,3.0,2.0,Portland Southeast,1354.0,8276.0,1952.0,69.0,265.0,0.0,Active,RMLS,18271736,45.51359715571182,-122.53320224428818
975,MLS Listing,Single Family Residential,Portland,OR,97213.0,359000.0,2.0,1.0,ROSEWAY,1328.0,4356.0,1943.0,1.0,270.0,0.0,Active,RMLS,18572555,45.563646916135816,-122.5645465838642
